video_id,title,channel_title,category_id,publish_time,view_count,like_count,comment_count
Q1iskzwrcFU,Hridayam Lopala Full Video Song| Kingdom | Vijay Deverakonda | Anirudh Ravichander |Gowtam Tinnanuri,Aditya Music,10,2025-05-02T10:59:54Z,3499749,85225,1919
6bMVSkMTEms,Teacher You Tube Live Session, NIPUN Bharat | Uttar Pradesh,27,2025-05-02T07:31:08Z,218337,18810,0
RFxRhOVGp4U,Maaman - Official Trailer | Soori | Aishwarya Lekshmi | Prasanth Pandiyaraj | Hesham Abdul Wahab,Think Music India,1,2025-05-01T05:41:01Z,3768423,100601,1744
9dX4h77PQV8,BroCode Roast Ft. @raviguptacomedy  | S2. Ep1,Aashish Solanki,23,2025-05-02T17:46:34Z,1065883,82448,4314
n_gisO-mT14,"Kondattam Video | Thudarum | Mohanlal, Shobana, Jakes Bejoy, Tharun Moorthy, MRenjith | MG SREEKUMAR",Sony Music South,10,2025-04-30T12:28:07Z,3840747,181245,12356
e2eX1HGeBFE,Housefull 5 | Official Teaser | Sajid Nadiadwala | Tarun Mansukhani | In Cinemas on 6th June 2025,NadiadwalaGrandson,24,2025-04-30T05:31:55Z,6928589,238019,15017
ezTbBUkUzgY,#HotstarSpecials #HeartBeatSeason2 | Promo | #HeartBeat2 ComingSoon on #jiohotstar,JioHotstar Tamil,1,2025-05-01T12:30:56Z,740326,27339,685
NKitkaIi7vY,#Dayangaram VJ Siddhu - 01 | Title Announcement | Ishari K Ganesh | Vels Film International,Vels Film International,1,2025-05-02T09:30:10Z,488950,29457,788
DZDzCzGLG0I,"WB Madhyamik Result 2025: স্বপ্ন দেখেও শেষ, ভালো ফল মৃত থৈবির! হাহাকার আসানসোলের মুখোপাধ্যায় পরিবারে",Sangbad Pratidin,25,2025-05-02T08:21:52Z,875747,7273,539
OmMsc2l6pM4,Devil's Double Next Level - Official Trailer | Santhanam | Geethika | Arya | ofRO | S.Prem Anand,Think Music India,1,2025-04-30T05:30:01Z,12157427,135653,2970
LZz-a2GVcIo,Official Teaser | The World of Prince | Prince and Family | Dilieep | Listin Stephen,Magic Frames,24,2025-05-02T13:30:06Z,337699,13837,1401
DCvonIH-gQQ,ఆత్మీయుల మధ్య Ricky ధోతి  Function || Manjula Nirupam || Strikers,Manjula Nirupam,22,2025-05-02T12:42:36Z,619474,8124,324
